11
1
64	113	-1	-1	-1	-1	-1	24	-1	29	-1	-1	-1	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	79	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	82	-1	-1	-1	-1	39	-1	-1	-1	-1	-1	-1	-1	120	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	17	-1	-1	62	-1	-1	-1	-1	-1	-1	-1	-1	118	-1	-1	-1	-1	-1	-1	-1	80	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	56	-1	-1	-1	-1	101	-1	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	95	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	-1	-1	-1	-1	93	-1	37	66	-1	-1	68	-1	-1	-1	-1	-1	-1	-1	36	-1	-1	8	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	-1	120	-1	70	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	38	9	-1	-1	91	-1	-1	-1	-1	-1	-1	-1	-1	115	-1	-1	11	-1	-1	74	-1	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	99	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	90	-1	-1	-1	-1	-1	113	-1	-1	-1	-1	-1	-1	-1	-1	-1	53	-1	-1	-1	-1	-1	82	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	85	-1	-1	-1	-1	-1	-1	-1	-1	-1	94	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	-1	-1	-1	19	-1	-1	-1	-1	84	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	118	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	36	-1	-1	-1	-1	-1	-1	-1	71	-1	-1	-1	-1	-1	-1	27	-1	-1	106	-1	-1	-1	-1	-1	74	-1	-1	-1	117	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	13	120	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	113	-1	49	-1	-1	-1	-1	-1	-1	-1	53	-1	-1	-1	-1	-1	-1	-1	-1	72	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	78	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	-1	-1	-1	-1	-1	58	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	20	-1	12	-1	-1	-1	-1	-1	-1	-1	71	-1	-1	-1	-1	-1	-1	-1	77	-1	-1	-1	-1	32	-1	-1	75	-1	-1	-1	-1	-1
-1	-1	-1	-1	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	54	-1	-1	-1	-1	-1	117	99	-1	-1	-1	-1	-1	-1	-1	-1	66	-1	-1	-1	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	83	-1	60	-1	-1	-1	-1	88	119	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	-1	-1	-1	-1	-1	-1	76	-1	6	-1	-1	-1	-1	-1	63	-1	-1	70	-1	-1	-1	-1	-1	-1	-1	44	98	91	-1	-1	115	-1	-1	-1	-1	-1	-1	-1	-1	104	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	95	-1	-1	-1	-1	82	-1	-1	-1	-1	-1	33	61	58	-1	-1	-1	-1	-1	-1	-1	-1	105	-1	16	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84	-1	93	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	53	-1	-1	-1	-1	-1	71	-1	-1	4	-1	-1	-1	-1	97	-1	-1	-1	-1	-1	-1	117	-1	-1	-1	-1	22	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	114	-1	-1	75	47	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	103	54	-1	43	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	105	-1	-1	-1	-1	-1	-1	-1	48	-1	-1	86	34	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	72	-1	-1	-1	-1	49	-1	-1	-1	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58	-1	-1	99	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	81	-1	-1	-1	-1	-1	-1	-1	-1	37	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	109	-1	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	106	-1	9	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	54	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	114	-1	-1	-1	93
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	89	-1	77	-1	-1	-1	-1	-1	108	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	-1	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	82	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	56	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	-1	-1	57	-1	98	-1	-1	-1	-1	-1	-1	-1	-1	-1	103	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91	-1	99	-1	102	-1	-1	-1	113	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	-1
11	-1	-1	-1	-1	-1	-1	1	33	-1	-1	-1	-1	-1	-1	118	-1	-1	-1	-1	-1	25	-1	-1	-1	9	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	71	-1	-1	115	-1	117	-1	-1	-1	5	-1	-1	-1	-1	-1	85	-1	-1	-1	-1	-1	-1	73	-1	-1	-1	-1	-1	-1	-1	-1	121	-1	-1	-1	-1	-1	97	113	-1	100	-1	-1	37	-1	3	-1	-1	-1	45	-1	104	17	-1	-1	-1	-1	13	102	-1	-1	42	-1	-1	74	-1	-1	-1	-1	103	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	2	-1	-1	25	-1	-1	-1	-1	-1	76	-1	-1	-1	-1	-1	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	-1	36	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	70	77	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	75	-1	-1	17	29	-1	7	-1	-1	109	-1	-1	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	95	-1	-1	51	-1	-1	9	-1	-1	-1	87	-1	-1	-1	-1	-1	-1
-1	-1	-1	99	-1	-1	-1	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	74	-1	-1	-1	-1	102	-1	118	-1	-1	-1	-1	-1	20	57	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	-1	-1	-1	-1	-1	-1	45	-1	-1	30	-1	-1	41	-1	82	-1	-1	-1	-1	-1	100	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	-1	88	5	45	-1	-1	-1	96	-1	-1	-1	98	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	22	-1	95	-1	-1	80	115	-1	-1	-1	-1	-1	-1	23	-1	-1	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	70	41
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	7	-1	-1	-1	-1	-1	60	-1	-1	-1	68	-1	86	-1	-1	-1	-1	-1	-1	97	-1	-1	-1	-1	-1	-1	-1	-1	24	-1	-1	114	77	-1	-1	-1	29	10	-1	63	-1	-1	-1	-1	-1	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	-1	111	-1	-1	-1	-1	-1	-1	-1	92	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	71	-1	62	-1	112
-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	47	-1	-1	75	-1	62	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	117	-1	-1	-1	-1	-1	3	-1	14	-1	-1	109	-1	-1	-1	-1	-1	121	-1	-1	-1	-1	-1	-1	-1	26	-1	43	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	80	-1	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73	-1	49	-1	86	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	13	-1	-1	-1	21	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	112	-1	-1	-1	-1	-1	-1	-1	-1	-1	86	-1	94	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	39	-1	-1	120	-1	-1	-1	-1	-1	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	-1	111	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	79	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	64	-1	53	-1	-1	-1	-1	-1	72	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	-1	96	107	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	101	86	-1	-1	-1	66	-1	-1	46	-1	92	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	-1	-1	-1	24	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	56	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	-1	-1	-1
-1	109	-1	-1	-1	-1	-1	83	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	111	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	75	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	112	-1	-1	-1	-1	-1	69	23	-1	-1	14	-1	-1	-1	-1	-1	84	-1	-1	-1	-1	-1	-1	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	97	-1	-1	-1	-1	-1	-1	3	-1	-1	58	105	-1	-1	-1
-1	-1	-1	-1	46	-1	-1	-1	105	-1	-1	35	-1	-1	59	-1	-1	-1	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	97	-1	-1	76	-1	-1	-1	-1	-1	65	11	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	52	-1	-1	-1	-1	-1	-1	86	57	79	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	80	18	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	114	24	19
-1	-1	55	-1	112	-1	-1	-1	-1	-1	114	-1	58	118	-1	-1	24	-1	-1	-1	-1	-1	74	-1	-1	-1	-1	-1	-1	-1	3	-1	22	-1	-1	-1	-1	-1	9	-1	-1	51	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	40	80	21	-1	-1	76	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	85	-1	-1	-1	-1	-1	-1	-1	121	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	71	48	43	-1	-1	-1	-1	91	-1	-1	-1	-1	53	120
84	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	85	56	-1	-1	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	113	-1	-1	-1	53	-1	-1	-1	-1	-1	-1	78	-1	-1	-1	82	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	21	83	-1	-1	-1	-1	-1	-1	-1	-1	110	100	-1	-1	-1	92	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	20	102	-1	-1	-1	-1	-1	54	-1	-1	-1	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	-1	-1	-1	-1	-1	-1	-1	72	-1	93	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	107	-1	-1	-1	-1	-1	5	77	-1	-1	50	-1	-1	-1
53	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	50	-1	-1	-1	-1	-1	42	-1	-1	-1	-1	-1	-1	-1	55	115	-1	-1	-1	-1	-1	-1	-1	27	-1	-1	-1	-1	64	-1	-1	-1	-1	-1	-1	-1	32	-1	21	-1	-1	-1	-1	-1	24	-1	119	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66	-1	-1	-1	-1	-1	-1	84	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	43	-1	-1	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	110	-1	-1	-1	-1	111	-1	-1	-1	-1	63	-1	-1	-1	103	-1	80	-1	-1	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	113	61	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	59	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	112	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	72	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	62	-1	83	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	36	-1	-1	46	-1	64	-1	-1	-1	-1	50	-1	-1	-1	-1	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	52	-1	-1	93	-1	-1	-1	-1	70	-1	-1	-1	-1	-1	-1	-1	-1	97	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	100	9	-1
75	-1	-1	-1	90	-1	-1	-1	-1	-1	-1	-1	26	-1	-1	32	-1	-1	-1	-1	74	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	104	40	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	109	-1	-1	-1	81	-1	-1	-1	-1	-1	-1	3	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58	-1	-1	-1	-1	106	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	93	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	-1	-1	-1	118	20	-1	36	-1	1
-1	-1	-1	-1	83	-1	96	-1	-1	60	-1	-1	114	-1	-1	52	-1	-1	-1	-1	-1	-1	69	20	-1	-1	-1	-1	-1	-1	25	-1	-1	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	40	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	92	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	-1	-1	-1	-1	-1	-1	103	-1	-1	-1	-1	-1	-1	-1	-1	51	-1	115	-1	116	-1	-1	-1	-1	-1	-1	-1	-1	111	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	120	-1	-1	-1	-1	111	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	119	-1	74	81	99	-1	-1	-1	80	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	-1	-1
70	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91	-1	19	-1	-1	-1	-1	22	-1	63	58	17	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	97	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	104	79	-1	-1	-1	-1	83	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	67	-1	-1	-1	-1	-1	65	52	-1	-1	-1	117	-1	-1	-1	-1	-1	-1
50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	55	-1	-1	-1	-1	-1	-1	-1	4	-1	59	-1	-1	-1	-1	-1	-1	-1	-1	-1	95	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	102	69	-1	-1	-1	-1	74	-1	-1	-1	32	-1	-1	-1	-1	46	-1	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49	-1	41	-1	-1	-1	-1	90	100	36	-1	-1	-1	-1	-1	-1	89	-1	39	-1	-1	-1	94	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	-1
-1	-1	-1	-1	51	-1	114	48	-1	-1	56	-1	-1	-1	-1	-1	-1	59	-1	-1	12	-1	-1	-1	-1	15	-1	116	-1	-1	-1	-1	-1	102	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	115	-1	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	67	85	-1	-1	-1	-1	-1	-1	76	-1	-1	2	-1	-1	-1	-1	-1	73	-1	-1	-1	-1	30	-1	107	-1	31	-1	-1	-1	-1	119	6	-1	-1	-1	52	-1	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	113	-1	-1	-1	-1	-1	-1	-1	-1	81
-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	81	-1	-1	-1	-1	-1	-1	-1	-1	-1	72	-1	-1	-1	-1	120	121	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	86	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	87	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	85	-1	-1	-1	-1	-1	-1	54	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91	-1	-1	-1	-1	-1	-1	-1	-1	69	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	78	98	-1	-1	-1	-1	-1	-1	-1	22	-1	-1	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	74	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69	-1	120	-1	-1	-1	-1	-1	88	-1	-1	-1	86	-1	-1	-1	-1	71	-1	-1	-1	-1	-1	-1	-1	40	-1	41	-1	-1	60	115	-1	-1	-1	93	-1	-1	-1	-1	-1	-1	27	-1	-1	76	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	63	-1	79	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	102	-1	-1	85	-1	-1	-1	-1	-1	-1	-1	27	-1	-1	84	-1	-1	-1	-1	64	-1	-1	-1	100	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	94	20	-1	-1	43	-1	-1	-1	60	104	-1	29	-1	-1	-1	86	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	52	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	119	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	116	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	-1	-1	-1	-1	-1	-1	-1	71	51	-1	45	13	-1	-1	-1	63	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	106	-1	-1	-1	4	-1	114	-1	-1	-1	74	-1	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	103	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	57	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	74	-1	-1	96	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	95	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	99	31	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	32
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	113	-1	17	-1	-1	36	-1	79	-1	-1	-1	-1	-1	-1	-1	86	-1	-1	-1	-1	103	-1	-1	11	28	-1	-1	63	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	55	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	112	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	75	-1	-1	-1	-1	24	-1	-1	-1	-1	-1	-1	-1	42	-1	-1
-1	-1	-1	-1	-1	-1	40	46	-1	1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	89	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	112	-1	-1	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	12	99	-1	-1	-1	-1	-1	-1	-1	63	-1	-1	-1	-1	-1	-1
